problem,algorithm,description,success_rate,avg_solve_time,avg_plan_length,total_runs,successful_runs
easy_4,gbfs_ff,Greedy Best-First (FF),1.0,0.21955513954162598,7.0,3,3
easy_4,gbfs_hadd,Greedy Best-First (hAdd),1.0,0.21257559458414713,7.0,3,3
easy_4,gbfs_hmax,Greedy Best-First (hMax),1.0,0.21224164962768555,7.0,3,3
easy_4,astar_ff,A* (FF),1.0,0.2122054100036621,7.0,3,3
easy_4,astar_hadd,A* (hAdd),1.0,0.21254642804463705,7.0,3,3
easy_4,bfs,Breadth-First Search,1.0,0.2136836846669515,7.0,3,3
easy_6,gbfs_ff,Greedy Best-First (FF),1.0,0.3014993667602539,7.0,3,3
easy_6,gbfs_hadd,Greedy Best-First (hAdd),1.0,0.2939291000366211,7.0,3,3
easy_6,gbfs_hmax,Greedy Best-First (hMax),1.0,0.2940712769826253,7.0,3,3
easy_6,astar_ff,A* (FF),1.0,0.29416871070861816,7.0,3,3
easy_6,astar_hadd,A* (hAdd),1.0,0.2930181821187337,7.0,3,3
easy_6,bfs,Breadth-First Search,1.0,0.2926030953725179,7.0,3,3
medium_8,gbfs_ff,Greedy Best-First (FF),1.0,0.4613215923309326,6.0,3,3
medium_8,gbfs_hadd,Greedy Best-First (hAdd),1.0,0.4615805943806966,6.0,3,3
medium_8,gbfs_hmax,Greedy Best-First (hMax),1.0,0.48605672518412274,6.0,3,3
medium_8,astar_ff,A* (FF),1.0,0.5074767271677653,6.0,3,3
medium_8,astar_hadd,A* (hAdd),1.0,0.5262189706166586,6.0,3,3
medium_8,bfs,Breadth-First Search,1.0,0.5118216673533121,6.0,3,3
medium_10,gbfs_ff,Greedy Best-First (FF),1.0,0.7328949769337972,6.0,3,3
medium_10,gbfs_hadd,Greedy Best-First (hAdd),1.0,0.6989522775014242,6.0,3,3
medium_10,gbfs_hmax,Greedy Best-First (hMax),1.0,0.6987245877583822,6.0,3,3
medium_10,astar_ff,A* (FF),1.0,0.6985650857289633,6.0,3,3
medium_10,astar_hadd,A* (hAdd),1.0,0.7184406916300455,6.0,3,3
medium_10,bfs,Breadth-First Search,1.0,0.697267214457194,6.0,3,3
hard_14,gbfs_ff,Greedy Best-First (FF),1.0,1.76321276028951,16.0,3,3
hard_14,gbfs_hadd,Greedy Best-First (hAdd),1.0,1.7565917174021404,16.0,3,3
hard_14,gbfs_hmax,Greedy Best-First (hMax),1.0,1.7497393290201824,16.0,3,3
hard_14,astar_ff,A* (FF),1.0,1.7634203433990479,16.0,3,3
hard_14,astar_hadd,A* (hAdd),1.0,1.7487370173136394,16.0,3,3
hard_14,bfs,Breadth-First Search,1.0,1.748494545618693,16.0,3,3
